parameter,median,mean,std,ci_2.5,ci_97.5,n_bootstrap
Group Healthy,0.92,0.8981300000000001,0.08160307691602176,0.67,1.0,1000
Group Unhealthy,0.86,0.8482299999999999,0.07637145867207001,0.62,1.0,1000
Group Balanced,0.01,0.027989999999999998,0.051993877170906026,0.0,0.19,1000
Individual Healthy Mean,0.64,0.6386466392217638,0.047822215555671996,0.5477674641148327,0.7334695945945947,1000
Individual Unhealthy Mean,0.6381365740740741,0.6362922293353533,0.04774845232384966,0.5395579231692677,0.72475125,1000
Individual Balanced Mean,0.3027154195011338,0.30332344675321726,0.034941071524774325,0.23566098484848483,0.37218242296918763,1000
