id;condition;phi;belief_ht_R;causal_HT;GHI;mean_onl_taste;mean_onl_health;base_tasty;base_ntasty;base_healthy;base_unhealthy
86;3;0,05802588531856594;-0,05;45,5;4,500;3,06666666666667;3,04444444444444;20;24;26;18
87;1;0,25162995597942267;0,07;49,0;4,875;3,50000000000000;3,32608695652174;28;17;18;27
88;1;-0,28721347895177635;-0,25;34,0;4,000;3,43478260869565;2,58695652173913;26;19;27;18
89;3;0,01010101010101010;0,10;53,0;2,625;2,86666666666667;3,02222222222222;16;28;20;24
90;1;0,22015332858616854;-0,01;41,5;4,125;3,43478260869565;2,56521739130435;27;18;18;27
91;1;-0,04279604925109130;-0,09;57,5;2,875;3,41304347826087;2,56521739130435;25;20;20;25
92;3;0,03160697706205070;0,11;45,0;4,000;2,93333333333333;3,02222222222222;20;24;18;26
93;1;0,12666009927622471;-0,18;39,0;2,625;3,45652173913043;2,58695652173913;31;14;17;28
94;2;-0,24232015747572200;-0,11;47,0;4,500;3,47826086956522;3,56521739130435;33;12;27;18
95;3;-0,02555176581063988;-0,06;46,5;3,875;2,95555555555556;3,02222222222222;19;25;15;29
96;2;0,00000000000000000;-0,19;43,5;4,625;3,52173913043478;3,52173913043478;30;15;25;20
97;3;0,00000000000000000;0,18;64,0;3,875;2,97777777777778;3,02222222222222;17;27;18;26
98;2;0,13363062095621220;0,16;47,5;4,375;3,52173913043478;3,52173913043478;25;20;30;15
99;1;-0,10206207261596575;-0,15;47,0;5,500;3,47826086956522;2,54347826086957;27;18;20;25
100;3;-0,10700964718735040;-0,08;57,5;4,250;2,95555555555556;3,06666666666667;17;27;19;25
101;2;-0,17118419700436519;0,00;47,5;3,500;3,47826086956522;3,56521739130435;25;20;30;15
102;3;0,00000000000000000;0,11;50,5;4,250;2,95555555555556;3,04444444444444;32;12;25;19
103;2;-0,40824829046386307;-0,16;35,0;3,750;3,52173913043478;3,50000000000000;37;8;21;24
104;3;-0,20412414523193154;-0,21;51,0;5,250;2,97777777777778;3,02222222222222;20;24;18;26
105;1;-0,30261376633440118;-0,14;51,5;5,250;3,45652173913043;2,56521739130435;31;14;13;32
106;3;-0,11442361247908184;-0,06;42,0;3,625;2,93333333333333;3,04444444444444;28;16;18;26
107;1;-0,19191919191919191;0,20;35,5;3,625;3,47826086956522;2,54347826086957;18;27;18;27
108;2;-0,04166666666666666;0,23;49,5;4,500;3,54347826086957;3,50000000000000;22;23;27;18
109;2;-0,09651100402393104;0,36;55,0;3,250;3,52173913043478;3,52173913043478;33;12;29;16
110;3;0,25000000000000000;0,07;45,0;5,125;2,97777777777778;3,02222222222222;29;15;24;20
111;1;-0,20000000000000001;0,00;43,0;5,125;3,45652173913043;2,52173913043478;25;20;20;25
113;1;-0,08908708063747479;0,00;47,5;2,375;3,45652173913043;2,56521739130435;25;20;25;20
114;1;-0,04279604925109130;0,17;42,5;4,625;3,43478260869565;2,54347826086957;29;16;19;26
115;1;-0,37500000000000000;-0,47;34,0;3,625;3,45652173913043;2,54347826086957;26;19;17;28
116;3;-0,10482848367219183;0,26;48,0;2,750;2,95555555555556;3,02222222222222;20;24;14;30
117;3;0,04279604925109130;-0,20;48,5;4,500;3,00000000000000;3,02222222222222;20;24;16;28
118;1;0,37500000000000000;0,38;67,0;4,625;3,06521739130435;2,76086956521739;36;9;29;16
119;1;-0,04962916669854651;-0,11;50,5;4,375;3,45652173913043;2,56521739130435;27;18;20;25
120;2;-0,09890109890109890;0,19;48,5;3,625;3,52173913043478;3,52173913043478;23;22;27;18
121;1;0,20100756305184242;-0,21;56,5;4,750;3,39130434782609;2,56521739130435;28;17;15;30
122;1;0,00000000000000000;-0,01;37,5;4,125;3,47826086956522;2,54347826086957;27;18;23;22
123;1;-0,08206099398622181;-0,29;34,0;5,250;3,45652173913043;2,54347826086957;27;18;15;30
124;1;-0,38981938376529190;-0,25;48,5;5,875;3,45652173913043;2,56521739130435;34;11;12;33
125;3;-0,17407765595569782;0,07;44,5;3,375;2,95555555555556;2,97777777777778;14;30;12;32
126;3;0,00000000000000000;0,00;57,0;3,375;2,95555555555556;3,04444444444444;22;22;22;22
127;1;0,01010101010101010;-0,33;44,0;5,125;3,43478260869565;2,58695652173913;18;27;15;30
128;3;0,35634832254989918;0,38;28,0;5,625;2,95555555555556;3,06666666666667;34;10;33;11
129;1;-0,25677629550654779;0,11;59,5;4,500;3,43478260869565;2,54347826086957;30;15;15;30
130;1;-0,12309149097933272;-0,33;33,0;4,375;3,50000000000000;2,56521739130435;15;30;15;30
131;2;-0,03160697706205070;0,10;45,0;5,000;3,54347826086957;3,50000000000000;25;20;25;20
132;1;-0,22356454001592499;0,34;46,5;4,625;3,47826086956522;2,56521739130435;33;12;15;30
133;3;-0,03160697706205070;0,23;39,5;5,250;2,95555555555556;3,02222222222222;20;24;26;18
134;2;-0,10482848367219183;-0,14;39,0;4,750;3,52173913043478;3,52173913043478;26;19;21;24
135;3;0,00000000000000000;0,20;47,0;4,875;2,95555555555556;3,06666666666667;23;21;22;22
