condition,group_mean,group_sd,group_cv,ind_mean,ind_sd,ind_cv
healthy,0.9400000000000001,0.019999999999999976,0.021276595744680823,0.6773076923076923,0.005526964562769215,0.008160197537308324
unhealthy,0.95,0.031622776601683784,0.0332871332649303,0.6819230769230771,0.006001725590125898,0.008801176838312087
balanced,0.030000000000000006,0.04,1.333333333333333,0.2569230769230769,0.017566441917952667,0.06837237872257027
