env,mae_group,mae_individual,ks_group,ks_individual,sd_empirical,sd_group,sd_individual,sd_ratio_group,sd_ratio_individual,sd_ratio_group_over_individual
healthy,0.04601869506111013,0.09372808595014362,0.34615384615384615,0.3269230769230769,0.19056127900531694,0.052059534154736256,0.11591803566554318,3.6604491780297677,1.6439312304699585,2.226643736784134
unhealthy,0.0437748605497762,0.09163828559616098,0.34615384615384615,0.34615384615384615,0.19805895901725123,0.056852233587865425,0.11588525394310006,3.483749828599963,1.7090954394810116,2.038358858214406
balanced,0.06021139696411716,0.07189512767629756,0.3269230769230769,0.25,0.15197232891031265,0.07737229984999282,0.088665124567516,1.9641697248880052,1.714003444438743,1.145954362729522
