bootstrap,env,bias,mae_base,w_ht,w_hn,w_ut,w_un,mae_full,delta_mae_full
0,healthy,1.0,0.1531448329843345,0.3319808188860199,0.250092216894135,0.0859461453338251,0.3319808188860199,0.1769855333726802,0.0238407003883456
0,unhealthy,1.0,0.1363777352078047,0.0794408455506307,0.3068530514831231,0.3068530514831231,0.3068530514831231,0.1721440865961259,0.0357663513883212
0,balanced,0.05,0.1511619368053751,0.3617363344051446,0.1828778135048231,0.272508038585209,0.1828778135048231,0.1657245711336446,0.0145626343282694
1,healthy,1.0,0.1725007177915756,0.2992056487202118,0.0044130626654898,0.3971756398940865,0.2992056487202118,0.1844423952444748,0.0119416774528991
1,unhealthy,0.8,0.1604501229720996,0.2992056487202118,0.0044130626654898,0.3971756398940865,0.2992056487202118,0.1451356554400298,-0.0153144675320698
1,balanced,0.08,0.1267688888570199,0.2851711026615969,0.214828897338403,0.2851711026615969,0.214828897338403,0.1557397758513836,0.0289708869943637
2,healthy,0.99,0.158859553141738,0.3319808188860199,0.16783474732571,0.2500922168941349,0.2500922168941349,0.1808247926876074,0.0219652395458694
2,unhealthy,0.91,0.1702538329823159,0.0936495176848874,0.1828778135048231,0.3617363344051447,0.3617363344051447,0.1762282896871639,0.005974456704848
2,balanced,0.04,0.1220447387677591,0.2008830022075055,0.2008830022075055,0.2008830022075055,0.3973509933774835,0.1351449372330895,0.0131001984653304
3,healthy,0.94,0.1254425805144669,0.2990736656374062,0.1027790030877812,0.2990736656374062,0.2990736656374062,0.1376995959751489,0.012257015460682
3,unhealthy,0.87,0.1494372392418471,0.1551312649164677,0.3068530514831231,0.3068530514831231,0.231162632117286,0.1878021850377432,0.0383649457958961
3,balanced,0.05,0.1144658805996277,0.4405286343612334,0.2227116984826236,0.2227116984826236,0.1140479686735193,0.1410009889229413,0.0265351083233136
4,healthy,1.0,0.1606862695840197,0.2723985536359984,0.0936118923262354,0.2723985536359984,0.3615910004017678,0.1972729390267483,0.0365866694427285
4,unhealthy,0.99,0.1428489582734648,0.231162632117286,0.3068530514831231,0.3068530514831231,0.1551312649164677,0.1566303039190624,0.0137813456455976
4,balanced,0.29,0.1472366349476402,0.1828778135048231,0.1828778135048231,0.272508038585209,0.3617363344051447,0.1566003460922556,0.0093637111446154
5,healthy,1.0,0.1564968923621363,0.3319808188860199,0.250092216894135,0.0859461453338251,0.3319808188860199,0.1882747913576121,0.0317778989954758
5,unhealthy,0.99,0.1552753709044659,0.2498627127951674,0.2498627127951674,0.3723228995057661,0.1279516749038989,0.1667299861606862,0.0114546152562203
