env,metric,median,mean,std,ci_2.5,ci_97.5,n_bootstrap
healthy,mae_base,0.1547231775167573,0.15646353449486228,0.015713756018954698,0.12546623085261713,0.19035494407491713,500
healthy,mae_full,0.1728809006706859,0.17278605139600037,0.01756175307001931,0.1376995959751489,0.2020087738672509,500
healthy,delta_mae_full,0.0169785081542042,0.016322516901138062,0.012809297617688885,-0.00992308739371941,0.03854888080170285,500
unhealthy,mae_base,0.1600248478498898,0.1609395833018036,0.01681371945831626,0.1314352694779844,0.1936864427276289,500
unhealthy,mae_full,0.17627235107025713,0.17509941112737068,0.019769650249792024,0.1373532407580339,0.2075154306125283,500
unhealthy,delta_mae_full,0.01348596600870825,0.01415982782556701,0.01485742528539829,-0.01528363311429121,0.04856192222552916,500
balanced,mae_base,0.12745794882365005,0.1279294441051608,0.012599698077735777,0.1059607984579736,0.15120499994562459,500
balanced,mae_full,0.1428545912189732,0.14300620129621328,0.013938561527203044,0.1180636036003427,0.1731499884419806,500
balanced,delta_mae_full,0.01446842646693525,0.015076757191052425,0.012649219509289985,-0.011223936118921486,0.03950060699858806,500
