parameter,median,mean,std,ci_2.5,ci_97.5,n_bootstrap
Group Healthy,1.0,0.9455,0.08618107203543697,0.7,1.0,1000
Group Unhealthy,0.9,0.8744000000000001,0.08361597713135709,0.7,1.0,1000
Group Balanced,0.0,0.08120000000000001,0.1423616058733071,0.0,0.5,1000
Individual Healthy Mean,0.5458571428571428,0.5460534627693912,0.05016275325795397,0.4511099290780143,0.64318717838765,1000
Individual Unhealthy Mean,0.5442307692307692,0.5443805746474097,0.04896152600732817,0.44704614604462484,0.6370108695652174,1000
Individual Balanced Mean,0.3568627450980392,0.3574356943184736,0.040222703442006624,0.28076923076923077,0.4360183673469388,1000
